#version 1.0
#Date 11-13-2017
1-Oct	mitochondrial intermediate peptidase
2ABA	Protein phosphatase PP2A 55 kDa regulatory subunit
2ABD	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform
2E4.130	Regulator of nonsense transcripts 1
2E4.130_0	Regulator of nonsense transcripts 1
2E4.130_1	Regulator of nonsense transcripts 1
2MBCD	2-methylacyl-CoA dehydrogenase, mitochondrial
4CL	4-coumarate--CoA ligase
4CL2	4-coumarate--CoA ligase 2
4CLL1	4-coumarate--CoA ligase-like 1
4CLL2	4-coumarate--CoA ligase-like 2
4CLL3	4-coumarate--CoA ligase-like 3
4CLL7	4-coumarate--CoA ligase-like 7
4CLL7_0	4-coumarate--CoA ligase-like 7
4CLL7_1	4-coumarate--CoA ligase-like 7
4CLL7_2	4-coumarate--CoA ligase-like 7
4CLL9	4-coumarate--CoA ligase-like 9
6-PGD	6-phosphogluconate dehydrogenase, decarboxylating
6GAL	Endo-beta-1 6-galactanase
6HN3M	6-hydroxynicotinate 3-monooxygenase
6PGD	6-phosphogluconate dehydrogenase, decarboxylating
6PGL	phosphogluconolactonase
6PGL4	6-phosphogluconolactonase 4
20H10.080	NADH-ubiquinone oxidoreductase 21 subunit
26S_PRC	26S proteasome regulatory complex protein
A1	mating type regulatory protein, silenced copy at HMR locus
A2	mating type regulatory protein, silenced copy at HMR locus
AAA1	Asc-type amino acid transporter 1
AAC	ADP,ATP carrier protein
AAC1	ADP/ATP carrier protein AAC1
AAC3	ADP/ATP carrier protein AAC3
AACS	Acetoacetyl-CoA synthetase
AACS_0	Acetoacetyl-CoA synthetase
AACS_1	Acetoacetyl-CoA synthetase
AAD1	Alcohol dehydrogenase, class III, bacterial-like protein
AAD2	aryl-alcohol dehydrogenases
AAD4	aryl-alcohol dehydrogenase
AAD5	aryl-alcohol dehydrogenase
AAD6	aryl-alcohol dehydrogenases
AAD10	aryl-alcohol dehydrogenase
AAD16	aryl-alcohol dehydrogenase
AADACL2	Arylacetamide deacetylase-like 2
AADAT	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
AADAT_0	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
AADAT_1	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
AAD_0	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_1	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_2	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_3	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_4	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_5	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_6	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_7	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_8	Aryl-alcohol dehydrogenase [NADP(+)]
AAD_9	Aryl-alcohol dehydrogenase [NADP(+)]
AAE7	Acetate/butyrate--CoA ligase AAE7, peroxisomal
AAE13	Malonate--CoA ligase
AAE14	2-succinylbenzoate--CoA ligase, chloroplastic/peroxisomal
AAED1	Thioredoxin-like protein AAED1
AAF1	adhesion and aggregation factor
AAH1	adenine deaminase
AAM1	glycoside hydrolase family 13 protein
AAM2	glycoside hydrolase family 13 protein
AAM3	glycosyl hydrolase, family 13
AAO_0	L-ascorbate oxidase
AAO_1	L-ascorbate oxidase
AAO_2	L-ascorbate oxidase
